Module	Section	Sample Name	Source
FastQC	all_sections	SRR33022240_1	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022240_1_fastqc.zip
FastQC	all_sections	SRR33022240_2	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022240_2_fastqc.zip
FastQC	all_sections	SRR33022241_1	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022241_1_fastqc.zip
FastQC	all_sections	SRR33022241_2	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022241_2_fastqc.zip
FastQC	all_sections	SRR33022242_1	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022242_1_fastqc.zip
FastQC	all_sections	SRR33022242_2	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022242_2_fastqc.zip
FastQC	all_sections	SRR33022243_1	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022243_1_fastqc.zip
FastQC	all_sections	SRR33022243_2	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022243_2_fastqc.zip
FastQC	all_sections	SRR33022244_1	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022244_1_fastqc.zip
FastQC	all_sections	SRR33022244_2	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022244_2_fastqc.zip
FastQC	all_sections	SRR33022245_1	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022245_1_fastqc.zip
FastQC	all_sections	SRR33022245_2	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022245_2_fastqc.zip
FastQC	all_sections	SRR33022246_1	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022246_1_fastqc.zip
FastQC	all_sections	SRR33022246_2	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022246_2_fastqc.zip
FastQC	all_sections	SRR33022247_1	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022247_1_fastqc.zip
FastQC	all_sections	SRR33022247_2	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022247_2_fastqc.zip
FastQC	all_sections	SRR33022248_1	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022248_1_fastqc.zip
FastQC	all_sections	SRR33022248_2	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022248_2_fastqc.zip
FastQC	all_sections	SRR33022249_1	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022249_1_fastqc.zip
FastQC	all_sections	SRR33022249_2	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022249_2_fastqc.zip
FastQC	all_sections	SRR33022250_1	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022250_1_fastqc.zip
FastQC	all_sections	SRR33022250_2	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022250_2_fastqc.zip
FastQC	all_sections	SRR33022251_1	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022251_1_fastqc.zip
FastQC	all_sections	SRR33022251_2	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022251_2_fastqc.zip
FastQC	all_sections	SRR33022252_1	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022252_1_fastqc.zip
FastQC	all_sections	SRR33022252_2	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022252_2_fastqc.zip
FastQC	all_sections	SRR33022253_1	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022253_1_fastqc.zip
FastQC	all_sections	SRR33022253_2	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022253_2_fastqc.zip
FastQC	all_sections	SRR33022254_1	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022254_1_fastqc.zip
FastQC	all_sections	SRR33022254_2	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022254_2_fastqc.zip
FastQC	all_sections	SRR33022255_1	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022255_1_fastqc.zip
FastQC	all_sections	SRR33022255_2	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022255_2_fastqc.zip
FastQC	all_sections	SRR33022256_1	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022256_1_fastqc.zip
FastQC	all_sections	SRR33022256_2	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022256_2_fastqc.zip
FastQC	all_sections	SRR33022257_1	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022257_1_fastqc.zip
FastQC	all_sections	SRR33022257_2	/home/umoxinacuve54_gmail_com/qc_work/PRJNA1247978/fastqc_out/SRR33022257_2_fastqc.zip
